Mes.Base,Ano.Exec,Veiculo,CO.Cliente,CO.Fabrica,rota,cod_rota,Qtd.Transp,Vlr.Frete,km_api,custo/km,custo/unid,qtd_max_veiculo,num_viagens,qtd_max_transp,taxa_ocupacao
10,2023,P12,2310,3423909,ITU - SAO PAULO,3423909-2310,240000,79499.51,101.813,5.240526832420828,0.3312111558538404,1800.0,149.0,268200.0,0.8948545861297539
10,2023,P12,2310,3424402,JACAREI - SAO PAULO,3424402-2310,152100,39748.049999999996,86.725,4.824451153828648,0.2627936842105263,1800.0,95.0,171000.0,0.8894736842105263
10,2023,P12,2311,3403208,ARARAQUARA - PIRACICABA,3403208-2311,130200,49891.04,138.038,4.462095694171886,0.3832403840877915,1800.0,81.0,145800.0,0.8930041152263375
10,2023,P12,2311,3423909,ITU - PIRACICABA,3423909-2311,115500,27126.37,71.15,5.222686009684344,0.23575709284627092,1800.0,73.0,131400.0,0.8789954337899544
10,2023,P12,2311,3424402,JACAREI - PIRACICABA,3424402-2311,270300,172170.77,208.77399999999997,4.879735755710586,0.6432158645627877,1800.0,169.0,304200.0,0.888560157790927
10,2023,P12,2312,3403208,ARARAQUARA - JACAREI,3403208-2312,108000,89501.52,318.68,4.255314536097767,0.837800404040404,1800.0,66.0,118800.0,0.9090909090909091
10,2023,P12,2313,3403208,ARARAQUARA - SAO JOSE DOS CAMPOS,3403208-2313,157500,1527.76,331.057,0.04661408516333801,0.010287946127946129,1800.0,99.0,178200.0,0.8838383838383839
10,2023,P12,2314,3403208,ARARAQUARA - SAO JOSE DOS CAMPOS,3403208-2314,131100,0.0,327.95,0.0,0.0,1800.0,82.0,147600.0,0.8882113821138211
10,2023,P12,2315,3403208,ARARAQUARA - SAO JOSE DOS CAMPOS,3403208-2315,104100,95088.24,331.255,4.4162231513486585,0.9224053333333334,1800.0,65.0,117000.0,0.8897435897435897
10,2023,P12,2316,3403208,ARARAQUARA - SAO JOSE DOS CAMPOS,3403208-2316,98100,87571.64,328.75899999999996,4.3667265557375,0.9033025136612022,1800.0,61.0,109800.0,0.8934426229508197
10,2023,P12,2317,3403208,ARARAQUARA - SAO JOSE DOS CAMPOS,3403208-2317,121800,3055.52,331.827,0.12116015431630274,0.02680280701754386,1800.0,76.0,136800.0,0.8903508771929824
10,2023,P12,2318,3403208,ARARAQUARA - SAO JOSE DOS CAMPOS,3403208-2318,113700,105990.8,339.745,4.393966560255734,0.9369377151799688,1800.0,71.0,127800.0,0.8896713615023474
10,2023,P12,2319,3403208,ARARAQUARA - SAO PAULO,3403208-2319,112200,77483.03,264.497,4.184926213043734,0.6936353968253968,1800.0,70.0,126000.0,0.8904761904761904
10,2023,P12,2319,3424402,JACAREI - SAO PAULO,3424402-2319,113100,29001.69,83.083,4.916463139778938,0.2571992957746479,1800.0,71.0,127800.0,0.8849765258215962
10,2023,P12,2320,3403208,ARARAQUARA - SAO PAULO,3403208-2320,133200,0.0,266.947,0.0,0.0,1800.0,84.0,151200.0,0.8809523809523809
10,2023,P12,2320,3424402,JACAREI - SAO PAULO,3424402-2320,128700,511.1,95.171,0.0679789037959521,0.0035942334739803095,1800.0,79.0,142200.0,0.9050632911392406
10,2023,P12,2321,3403208,ARARAQUARA - SAO PAULO,3403208-2321,133500,1268.54,266.268,0.05739936626944028,0.008490896921017402,1800.0,83.0,149400.0,0.893574297188755
10,2023,P12,2321,3424402,JACAREI - SAO PAULO,3424402-2321,141900,511.1,94.502,0.06076799040457856,0.0031903870162297127,1800.0,89.0,160200.0,0.8857677902621723
10,2023,P12,2322,3403208,ARARAQUARA - SAO PAULO,3403208-2322,128400,93795.88,264.79,4.483891462113994,0.7344331926863572,1800.0,79.0,142200.0,0.9029535864978903
10,2023,P12,2322,3424402,JACAREI - SAO PAULO,3424402-2322,117900,34861.79,89.134,5.285359910587097,0.2964195795795796,1800.0,74.0,133200.0,0.8851351351351351
10,2023,P12,2323,3403208,ARARAQUARA - SAO PAULO,3403208-2323,121500,1209.15,274.717,0.057913665412233806,0.010606578947368422,1800.0,76.0,136800.0,0.8881578947368421
10,2023,P12,2323,3424402,JACAREI - SAO PAULO,3424402-2323,143100,0.0,102.94100000000002,0.0,0.0,1800.0,88.0,158400.0,0.9034090909090909
10,2023,P12,2324,3403208,ARARAQUARA - SAO PAULO,3403208-2324,276900,111692.62000000001,275.424,2.344102478087805,0.406287424534361,1800.0,173.0,311400.0,0.8892100192678227
10,2023,P12,2324,3423909,ITU - SAO PAULO,3423909-2324,135300,0.0,100.893,0.0,0.0,1800.0,84.0,151200.0,0.8948412698412699
10,2023,P12,2324,3424402,JACAREI - SAO PAULO,3424402-2324,108000,0.0,103.648,0.0,0.0,1800.0,67.0,120600.0,0.8955223880597015
10,2023,P12,2325,3403208,ARARAQUARA - SAO PAULO,3403208-2325,118500,0.0,285.412,0.0,0.0,1800.0,75.0,135000.0,0.8777777777777778
10,2023,P12,2325,3423909,ITU - SAO PAULO,3423909-2325,127200,0.0,105.662,0.0,0.0,1800.0,79.0,142200.0,0.8945147679324894
10,2023,P12,2325,3424402,JACAREI - SAO PAULO,3424402-2325,115800,0.0,105.667,0.0,0.0,1800.0,73.0,131400.0,0.8812785388127854
10,2023,P12,2326,3403208,ARARAQUARA - COTIA,3403208-2326,238500,185381.26,270.955,4.654267338867049,0.7810294255479969,1800.0,147.0,264600.0,0.9013605442176871
10,2023,P12,2326,3423909,ITU - COTIA,3423909-2326,148500,42068.28,91.20500000000001,5.0135838281177385,0.2844726811594203,1800.0,92.0,165600.0,0.8967391304347826
10,2023,P12,2326,3424402,JACAREI - COTIA,3424402-2326,114000,35407.36,107.828,4.624913856026317,0.31061779342723,1800.0,71.0,127800.0,0.892018779342723
10,2023,P12,2327,3403208,ARARAQUARA - SAO PAULO,3403208-2327,229200,83796.25,277.216,2.1287170892723304,0.36716451486697965,1800.0,142.0,255600.0,0.8967136150234741
10,2023,P12,2327,3423909,ITU - SAO PAULO,3423909-2327,151800,0.0,106.977,0.0,0.0,1800.0,93.0,167400.0,0.9068100358422939
10,2023,P12,2327,3424402,JACAREI - SAO PAULO,3424402-2327,129900,0.0,105.44,0.0,0.0,1800.0,81.0,145800.0,0.8909465020576132
10,2023,P12,2328,3403208,ARARAQUARA - SAO PAULO,3403208-2328,135000,104060.55,284.644,4.300957563503473,0.770227843137255,1800.0,85.0,153000.0,0.8823529411764706
10,2023,P12,2328,3423909,ITU - SAO PAULO,3423909-2328,265200,93265.78,108.678,5.169786416687564,0.3524942302543507,1800.0,166.0,298800.0,0.8875502008032129
10,2023,P12,2328,3424402,JACAREI - SAO PAULO,3424402-2328,140700,40827.91,120.638,3.845832347413524,0.2920122601010101,1800.0,88.0,158400.0,0.8882575757575758
10,2023,P12,2329,3403208,ARARAQUARA - SAO BERNARDO DO CAMPO,3403208-2329,129600,0.0,291.699,0.0,0.0,1800.0,80.0,144000.0,0.9
10,2023,P12,2329,3423909,ITU - SAO BERNARDO DO CAMPO,3423909-2329,243600,51175.5,115.733,2.8901038783826802,0.21117755991285403,1800.0,153.0,275400.0,0.8845315904139434
10,2023,P12,2329,3424402,JACAREI - SAO BERNARDO DO CAMPO,3424402-2329,118200,0.0,113.122,0.0,0.0,1800.0,74.0,133200.0,0.8873873873873874
10,2023,P12,2330,3403208,ARARAQUARA - MAUA,3403208-2330,151500,1405.56,303.713,0.04820751828206233,0.008134027777777776,1800.0,96.0,172800.0,0.8767361111111112
