"CO.Cliente","CO.Fabrica","rota_fabrica_cliente","Demanda","Producao","Qtd.Transp","Vlr.Frete","custo_unit_rota","custo_min_rota","custo_max_rota","km_api"
"2339","3423909","3423909 - 2339",1789064,56000000,21600,11034.4,0.5569885185185185,0.3917888888888889,0.71614,230.919
"2340","3403208","3403208 - 2340",973767,90000000,1144200,1042007.38,0.978755904049654,0.5598694444444444,1.1461666666666666,377.221
"2340","3423909","3423909 - 2340",973767,56000000,2266500,1312593.87,0.6133746207616066,0.3917888888888889,0.7179466666666667,233.498
"2341","3403208","3403208 - 2341",5304924,90000000,1140000,979640.73,0.9231136369268896,0.5598694444444444,1.08886,359.068
"2341","3423909","3423909 - 2341",5304924,56000000,1241100,666134.21,0.5790868105413105,0.34728888888888887,0.69828,215.345
"2342","3403208","3403208 - 2342",838856,90000000,1457400,1238999.27,0.9143498419472104,0.5598694444444444,1.08886,353.273
"2342","3423909","3423909 - 2342",838856,56000000,1337700,711683.2100000001,0.572810011445677,0.34728888888888887,0.69828,209.55000000000004
"2343","3403208","3403208 - 2343",8150094,90000000,1290600,1196326.89,0.9918260348135965,0.5598694444444444,1.1461666666666666,383.387
"2343","3423909","3423909 - 2343",8150094,56000000,2424600,1401965.12,0.6132539689429012,0.3917888888888889,0.71614,239.66399999999996
"2344","3403208","3403208 - 2344",678417,90000000,1199700,719672.05,0.6385439881299864,0.4124083333333334,0.7538266666666666,241.89299999999997
"2344","3424402","3424402 - 2344",678417,90000000,1219800,540316.33,0.47938025347817803,0.27132222222222224,0.5586266666666667,178.023
"2345","3403208","3403208 - 2345",3600095,90000000,1044600,632120.41,0.6422160420841683,0.4124083333333334,0.7538266666666666,244.43399999999997
"2345","3424402","3424402 - 2345",3600095,90000000,1084500,492821.37,0.49088833120476794,0.27132222222222224,0.5751055555555555,180.564
"2346","3403208","3403208 - 2346",3522678,90000000,15300,9268.74,0.6455140625,0.3917888888888889,0.71614,238.558
"2346","3424402","3424402 - 2346",3522678,90000000,22800,10203.94,0.47474808080808084,0.27132222222222224,0.5586266666666667,174.688
"2347","3403208","3403208 - 2347",3675315,90000000,1172700,318928.45,0.2829583545647558,0.21518333333333337,0.40402,85.682
"2347","3423909","3423909 - 2347",3675315,56000000,1485300,958281.29,0.6880213281878116,0.44101111111111113,0.8061000000000001,263.19
"2347","3424402","3424402 - 2347",3675315,90000000,1446300,1211726.17,0.9008485807096451,0.5598694444444444,1.08886,357.812
"2348","3403208","3403208 - 2348",1310374,90000000,1096500,291712.72000000003,0.2866935047619048,0.16538333333333333,0.3325266666666667,96.021
"2348","3423909","3423909 - 2348",1310374,56000000,1212900,831882.3300000001,0.7222775664767331,0.4410111111111112,0.8061,273.529
"2348","3424402","3424402 - 2348",1310374,90000000,1137000,1012559.11,0.963581831693317,0.5598694444444444,1.1461666666666666,368.151
"2349","3403208","3403208 - 2349",1761137,90000000,9600,2782.28,0.3022308888888889,0.23909166666666665,0.44891333333333333,90.218
"2349","3423909","3423909 - 2349",1761137,56000000,21300,11895.130000000001,0.6136983333333333,0.44101111111111113,0.8061,267.641
"2349","3424402","3424402 - 2349",1761137,90000000,6300,6613.36,1.0546297222222223,0.9519388888888889,1.08886,362.263
"2350","3403208","3403208 - 2350",4402893,90000000,1335000,442844.78,0.35829032301845815,0.2067277777777778,0.42146666666666666,124.48100000000001
"2350","3423909","3423909 - 2350",4402893,56000000,1330200,853200.62,0.6858356904508343,0.44101111111111113,0.8061,251.819
"2350","3424402","3424402 - 2350",4402893,90000000,1259700,1212369.3,1.0180790901027077,0.6449722222222223,1.1461666666666666,401.828
"2351","3403208","3403208 - 2351",1331761,90000000,21600,8764.460000000001,0.41775722222222217,0.29118333333333335,0.59854,124.483
"2351","3423909","3423909 - 2351",1331761,56000000,24600,14943.6,0.6378815,0.44101111111111113,0.8061,250.233
"2351","3424402","3424402 - 2351",1331761,90000000,5100,5516.41,1.0852333333333333,1.0547666666666666,1.1461666666666666,403.211
